Cluster House,Township,Area,Semi D,Terrace House,Leasehold,Apartment,Freehold,Town House,Bungalow,Condominium,Price,Service Residence,Median_PSF,Flat,State
0,TAMAN BAHAU,Bahau,0,1,0,0,1,0,0,0,183000,0,155,0,Negeri Sembilan
0,TAMAN BAKRI JAYA,Bakri,0,1,0,0,1,0,0,0,610000,0,238,0,Johor
0,TAMAN ANGKASA NURI,Durian Tunggal,0,1,1,0,0,0,0,0,280000,0,213,0,Melaka
0,OSKAR RESIDENCE @SEREMBAN FOREST HEIGHTS,Ampangan,0,1,0,0,1,0,0,0,669000,0,454,0,Negeri Sembilan
0,TAMAN MAWAR,Tanjong Duabelas,0,1,0,0,1,0,0,0,390000,0,219,0,Selangor
0,TAMAN DESA RHU,Sikamat,0,1,1,0,0,0,0,0,237500,0,210,0,Negeri Sembilan
0,SEMENYIH PARKLANDS,Beranang,0,1,0,0,1,0,0,0,465000,0,357,0,Selangor
0,TAMAN BUKIT SUBANG,Shah Alam,0,1,0,0,1,0,0,0,590000,0,415,0,Selangor
0,TAMAN ASA JAYA,Kajang,0,1,0,0,1,0,0,0,485000,0,389,0,Selangor
0,BANDAR TASIK PUTERI,Rawang,0,1,1,0,0,0,0,0,400000,0,281,0,Selangor
0,TAMAN SRI BUNUT,Tanjong Duabelas,0,1,0,0,1,0,0,0,669000,0,328,0,Selangor
0,TAMAN TERATAI,Kulai,0,1,0,0,1,0,0,0,330000,0,273,0,Johor
0,SEKSYEN 29 SHAH ALAM,Shah Alam,0,1,1,0,0,0,0,0,472800,0,309,0,Selangor
0,TAMAN EMAS BIDOR,Bidor,0,1,1,0,0,0,0,0,90000,0,75,0,Perak
0,TAMAN PUTERA/SURIA,Johor Bahru,0,1,0,0,1,0,0,0,625000,0,343,0,Johor
0,LAMAN PERMATA,Tebrau,0,1,0,0,1,0,0,0,788800,0,563,0,Johor
0,TAMAN TOK MUDA,Kapar,0,1,0,0,1,0,0,0,397000,0,300,0,Selangor
0,SEKSYEN 15 BANDAR BARU BANGI,Bangi,0,1,1,0,0,0,0,0,550000,0,406,0,Selangor
0,TAMAN MEGA RIA 2,Tangkak,0,1,0,0,1,0,0,0,100000,0,104,0,Johor
0,BANDAR SULTAN SULAIMAN,Kapar,0,1,1,0,0,0,0,0,260000,0,251,0,Selangor
0,KAMPUNG PADANG 1,Kuantan,0,1,1,0,0,0,0,0,170000,0,153,0,Pahang
0,TAMAN LAGENDA TROPIKA TAPAH,Chenderiang,0,1,0,0,1,0,0,0,229954,0,130,0,Perak
0,BANDAR BUKIT PUCHONG,Puchong,0,1,0,0,1,0,0,0,640000,0,418,0,Selangor
0,TAMAN RIA JAYA FASA 3,Sungai Petani,0,1,0,0,1,0,0,0,250000,0,158,0,Kedah
0,TAMAN PERMAI PUTEH,Tronoh,0,1,1,0,0,0,0,0,305000,0,218,0,Perak
0,TAMAN MELAKA BARU,Batu Berendam,0,1,1,0,0,0,0,0,300000,0,202,0,Melaka
0,ULU SUNGAI MERAH,Sibu,0,1,1,0,0,0,0,0,430000,0,173,0,Sarawak
0,SERENE HEIGHTS,Semenyih,0,1,0,0,1,0,0,0,781800,0,445,0,Selangor
0,BANDAR LAGUNA MERBOK (TERES),Sungai Petani,0,1,0,0,1,0,0,0,400000,0,264,0,Kedah
0,TAMAN KRUBONG JAYA,Krubong,0,1,1,0,0,0,0,0,290000,0,223,0,Melaka
0,TAMAN DAHLIA,Tampoi,0,1,1,0,0,0,0,0,300000,0,288,0,Johor
0,BANDAR SIBU JAYA,Sibu,0,1,1,0,0,0,0,0,200000,0,130,0,Sarawak
0,TAMAN KULIM TECHNOCITY FASA 1,Kulim,0,1,0,0,1,0,0,0,320000,0,222,0,Kedah
0,DESA COALFIELDS,Ijok,0,1,0,0,1,0,0,0,467500,0,324,0,Selangor
0,SEKSYEN 7 SHAH ALAM,Shah Alam,0,1,1,0,0,0,0,0,740000,0,390,0,Selangor
0,TAMAN KULIM TECHNOCITY FASA 3,Kulim,0,1,0,0,1,0,0,0,395000,0,318,0,Kedah
0,TAMAN BUKIT PERDANA,Batu Pahat,0,1,0,0,1,0,0,0,390000,0,253,0,Johor
0,USJ 6,Subang Jaya,0,1,0,0,1,0,0,0,694000,0,536,0,Selangor
0,TAMAN KERJASAMA,Bukit Baru,0,1,0,0,1,0,0,0,380000,0,245,0,Melaka
0,R.P.R RANGAU,Limbang,0,1,0,0,1,0,0,0,80000,0,74,0,Sarawak
0,P/L143461 SERI MAHKOTA DAMAI FASA 6,Kuantan,0,1,0,0,1,0,0,0,236000,0,143,0,Pahang
0,TAMAN RAMBAI IDAMAN,Bukit Rambai,0,1,1,0,1,0,0,0,295000,0,164,0,Melaka
0,TAMAN BUKIT PANCHOR,Nibong Tebal,0,1,0,0,1,0,0,0,374160,0,299,0,Penang
0,TAMAN PERMATA PENAWAR,Pengerang,0,1,1,0,0,0,0,0,386200,0,272,0,Johor
0,TAMAN GEMILANG,Kulai,0,1,0,0,1,0,0,0,488000,0,290,0,Johor
0,P/L : 10139,Kuantan,0,1,0,0,1,0,0,0,350000,0,183,0,Pahang
0,TAMAN PUNCAK CERIA (IDAMAN HILLS),Kluang,0,1,0,0,1,0,0,0,538000,0,253,0,Johor
0,KOTA PUTERI BANDAR BARU BATU ARANG,Batu Arang,0,1,1,0,0,0,0,0,590000,0,272,0,Selangor
0,"TAMAN KELANA, RANTAU PANJANG",Kapar,0,1,0,0,1,0,0,0,473000,0,354,0,Selangor
0,TAS,Kuantan,0,1,0,0,1,0,0,0,185000,0,158,0,Pahang
0,TAMAN PGBF HARMONI PASIR BESAR,Gemas,0,1,1,0,0,0,0,0,90000,0,64,0,Negeri Sembilan
0,TAMAN KIARA,Kuala Selangor,0,1,0,0,1,0,0,0,308000,0,258,0,Selangor
0,TAMAN SRI TEBRAU,Johor Bahru,0,0,0,0,1,1,0,0,680000,0,336,0,Johor
0,TAMAN JOHOR JAYA,Johor Bahru,0,1,0,0,1,0,0,0,450000,0,326,0,Johor
0,TAMAN REDANG,Masai,0,0,1,0,1,1,0,0,780000,0,393,0,Johor
0,TAMAN TEMIANG JAYA,Muar,0,1,0,0,1,0,0,0,610000,0,312,0,Johor
0,TAMAN PAUH JAYA,Perai,0,1,0,0,1,0,0,0,590000,0,400,0,Penang
0,TAMAN ANDALAS JAYA,Klang,0,1,0,0,1,0,0,0,655000,0,410,0,Selangor
0,TAMAN SELAYANG UTAMA,Selayang,0,1,1,0,0,0,0,0,684000,0,491,0,Selangor
0,TAMAN MAJU,Batu Pahat,0,1,0,0,1,0,0,0,365000,0,246,0,Johor
0,TAMAN SEMARAK II,Nilai,0,1,0,0,1,0,0,0,300000,0,195,0,Negeri Sembilan
0,TAMAN BUKIT DAHLIA,Pasir Gudang,0,1,1,0,1,0,0,0,480000,0,353,0,Johor
0,TAMAN BUKIT RANGIN 3,Kuantan,0,1,1,0,0,0,0,0,210000,0,167,0,Pahang
0,BANDAR SAUJANA PUTRA,Tanjong Duabelas,0,1,1,0,0,0,0,0,450000,0,339,0,Selangor
0,LAMAN SETIA,Skudai,0,1,0,0,1,0,0,0,650000,0,426,0,Johor
0,TAMAN GUNUNG PULAI,Kulai,0,1,0,0,1,0,0,0,318000,0,307,0,Johor
0,PRIMA SP BAIDURI (SP 1),Sungai Petani,0,1,0,0,1,0,0,0,270000,0,179,0,Kedah
0,TAMAN SRI SERDANG,Seri Kembangan,0,1,1,0,0,0,0,0,420000,0,286,0,Selangor
0,TAMAN TASEK GELUGOR UTAMA (SCIENTEX),Tasek Gelugor,0,1,0,0,1,0,0,0,310000,0,294,0,Penang
0,TAMAN SRI RAMPAI,Wangsa Maju,0,1,0,0,1,0,0,0,505000,0,566,0,Kuala Lumpur
0,TAMAN NUSA DAMAI,Pasir Gudang,0,1,0,0,1,0,0,0,365000,0,309,0,Johor
0,TAMAN INDAH JAYA,Kluang,0,1,0,0,1,0,0,0,240000,0,179,0,Johor
0,KAMPUNG TASIK TAMBAHAN,Ampang,0,1,1,0,0,0,0,0,420000,0,405,0,Selangor
0,AMBER 1@BUKIT SENTOSA,Serendah,0,1,0,0,1,0,0,0,430000,0,332,0,Selangor
0,SEKSYEN 19 SHAH ALAM,Shah Alam,0,1,1,0,0,0,0,0,450000,0,321,0,Selangor
0,TAMAN TEHEL IMPIAN (SAUJANA PERDANA),Bemban,0,1,0,0,1,0,0,0,291230,0,182,0,Melaka
0,TAMAN DESA PD,Linggi,0,1,0,0,1,0,0,0,180000,0,131,0,Negeri Sembilan
0,TAMAN DESA JAWI,Nibong Tebal,0,1,1,0,0,0,0,0,190000,0,199,0,Penang
0,TUNAS MAHKOTA,Kuantan,0,1,1,0,1,0,0,0,195000,0,160,0,Pahang
0,SEKSYEN 3 BANDAR BARU BANGI,Bangi,0,1,1,0,0,0,0,0,590000,0,357,0,Selangor
0,TAMAN SENAI UTAMA,Kulai,0,1,0,0,1,0,0,0,420000,0,260,0,Johor
0,SEKSYEN 14,Petaling Jaya,0,1,1,0,0,0,0,0,715000,0,333,0,Selangor
0,TAMAN CEMPAKA INDAH (PEC LOT 8029),Triang,0,1,0,0,1,0,0,0,288000,0,139,0,Pahang
0,SAMARIANG AMAN,Kuching,0,1,1,0,0,0,0,0,372500,0,198,0,Sarawak
0,TAMAN KLEMERU (P/L : 48396),Ipoh,0,1,1,0,0,0,0,0,403000,0,229,0,Perak
0,SS5 PETALING JAYA,Petaling Jaya,0,1,0,0,1,0,0,0,700000,0,378,0,Selangor
0,TAMAN CEMPAKASARI,Kapar,0,1,1,0,0,0,0,0,360000,0,276,0,Selangor
0,TAMAN NILAM,Kuah,0,1,1,0,0,0,0,0,145000,0,101,0,Kedah
0,TAMAN SRI JAYA (SUNGAI PELIK),Sepang,0,1,0,0,1,0,0,0,598000,0,301,0,Selangor
0,"TAMAN SRI MEWAH, MERU",Kapar,0,1,0,0,1,0,0,0,610000,0,441,0,Selangor
0,TAMAN JASMIN,Kajang,0,1,0,0,1,0,0,0,442000,0,357,0,Selangor
0,TAMAN GADONG BAHAGIA,Balai Panjang,0,1,0,0,1,0,0,0,312000,0,203,0,Melaka
0,DESA MAYANG SARI,Nilai,0,1,0,0,1,0,0,0,718000,0,511,0,Negeri Sembilan
0,BANDAR PUTERI JAYA SEKSYEN 2,Sungai Petani,0,1,0,0,1,0,0,0,275000,0,180,0,Kedah
0,KEPONG BARU,Kepong,0,1,1,0,1,0,0,0,667500,0,445,0,Kuala Lumpur
0,BANDAR BARU PUTRA,Ipoh,0,1,1,0,1,0,0,0,212500,0,159,0,Perak
0,TAMAN SERI SEMENTA,Kapar,0,1,1,0,0,0,0,0,332500,0,246,0,Selangor
0,OFF JALAN TELOK GADONG,Klang,0,1,0,0,1,0,0,0,600000,0,302,0,Selangor
0,TAMAN BUKIT EMAS,Sungei Petai,0,1,0,0,1,0,0,0,252500,0,160,0,Melaka
0,BUKIT BERUNTUNG,Serendah,0,1,0,0,1,0,0,0,300000,0,222,0,Selangor
0,TAMAN DESA CHEMOR IMPIAN,Chemor,0,1,1,0,0,0,0,0,342240,0,244,0,Perak
0,TANJUNG TEMASEK FASA 1,Ipoh,0,1,1,0,0,0,0,0,298800,0,226,0,Perak
0,REGENT PARK,Miri,0,1,1,0,0,0,0,0,338888,0,233,0,Sarawak
0,TAMAN BIDARA PALMA,Sungei Baru Tengah,0,1,0,0,1,0,0,0,240000,0,118,0,Melaka
0,TAMAN ENG ANN,Klang,0,1,0,0,1,0,0,0,480000,0,240,0,Selangor
0,E-RESIDENCE,Kuching,0,1,1,0,0,0,0,0,600000,0,254,0,Sarawak
0,TAMAN NESA,Skudai,0,1,1,0,1,0,0,0,380000,0,292,0,Johor
0,BANDAR PUCHONG JAYA,Puchong,0,1,0,0,1,0,0,0,725000,0,513,0,Selangor
0,TAMAN DATO CHELLAM,Ulu Tiram,0,1,0,0,1,0,0,0,630000,0,427,0,Johor
0,TAMAN LIMBONGAN PERMAI,Klebang,0,1,0,0,1,0,0,0,289000,0,187,0,Melaka
0,"P/L 2366, 2367, 3694, 3752 & 4169",Kuantan,0,1,0,0,1,0,0,0,468880,0,305,0,Pahang
0,LAMAN INDAH 1,Iskandar Puteri (Nusajaya),0,1,0,0,1,0,0,0,385000,0,358,0,Johor
0,EKA HEIGHTS - PRECINCT 3B,Labu,0,1,0,0,1,0,0,0,400000,0,267,0,Negeri Sembilan
0,SCIENTEX KUNDANG JAYA,Rawang,0,1,0,0,1,0,0,0,504339,0,403,0,Selangor
0,TAMAN KOTA MASAI,Pasir Gudang,0,1,0,0,1,0,0,0,345000,0,323,0,Johor
0,TAMAN SERI IMPIAN,Bukit Mertajam,0,1,0,0,1,0,0,0,589000,0,405,0,Penang
