Township,Area,State,Median_PSF,Freehold,Leasehold,Terrace House,Cluster House,Semi D,Bungalow,Service Residence,Flat,Town House,Apartment,Condominium,Price
Nusa Perdana Apartment,Iskandar Puteri (Nusajaya),Johor,386,1,0,0,0,0,0,1,0,0,0,0,360000
TAMAN BAHAU,Bahau,Negeri Sembilan,155,1,0,1,0,0,0,0,0,0,0,0,183000
Apartment Harmoni,Damansara Damai,Selangor,205,0,1,0,0,0,0,0,1,0,0,0,133000
TAMAN BAKRI JAYA,Bakri,Johor,238,1,0,1,0,0,0,0,0,0,0,0,610000
Seri Baiduri,Setia Alam,Selangor,386,1,0,0,0,0,0,0,0,0,1,0,357500
TAMAN ANGKASA NURI,Durian Tunggal,Melaka,213,0,1,1,0,0,0,0,0,0,0,0,280000
OSKAR RESIDENCE @SEREMBAN FOREST HEIGHTS,Ampangan,Negeri Sembilan,454,1,0,1,0,0,0,0,0,0,0,0,669000
TAMAN MAWAR,Tanjong Duabelas,Selangor,219,1,0,1,0,0,0,0,0,0,0,0,390000
TAMAN DESA RHU,Sikamat,Negeri Sembilan,210,0,1,1,0,0,0,0,0,0,0,0,237500
SEMENYIH PARKLANDS,Beranang,Selangor,357,1,0,1,0,0,0,0,0,0,0,0,465000
TAMAN BUKIT SUBANG,Shah Alam,Selangor,415,1,0,1,0,0,0,0,0,0,0,0,590000
TAMAN ASA JAYA,Kajang,Selangor,389,1,0,1,0,0,0,0,0,0,0,0,485000
Menara Menjalara,Bandar Menjalara,Kuala Lumpur,400,1,0,0,0,0,0,0,0,0,0,1,430000
TAMAN SRI BUNUT,Tanjong Duabelas,Selangor,328,1,0,1,0,0,0,0,0,0,0,0,669000
TAMAN TERATAI,Kulai,Johor,273,1,0,1,0,0,0,0,0,0,0,0,330000
TAMAN LAKE VIEW,Taiping,Perak,193,1,0,1,0,1,0,0,0,0,0,0,405000
TAMAN EMAS BIDOR,Bidor,Perak,75,0,1,1,0,0,0,0,0,0,0,0,90000
Taman Sri Tanjung,Semenyih,Selangor,302,1,0,0,0,0,0,0,0,0,1,0,296400
TAMAN PUTERA/SURIA,Johor Bahru,Johor,343,1,0,1,0,0,0,0,0,0,0,0,625000
Pandan Residence,Tebrau,Johor,423,0,1,0,0,0,0,1,0,0,0,0,390000
TAMAN BUNGA RAYA,Sungai Petani,Kedah,131,1,0,1,0,1,0,0,0,0,0,0,230000
Pangsapuri Permai Puteri,Ampang,Selangor,372,0,1,0,0,0,0,0,0,0,1,0,320000
Pauh Damai,Bukit Mertajam,Penang,315,1,0,0,0,0,0,0,1,0,0,0,200000
Grandeur Tower,Ampang,Selangor,322,0,1,0,0,0,0,0,0,0,1,0,305000
TAMAN JUJUR,Sikamat,Negeri Sembilan,129,1,0,0,1,0,0,0,0,0,0,0,143000
LAMAN PERMATA,Tebrau,Johor,563,1,0,1,0,0,0,0,0,0,0,0,788800
Pelangi Utama,Bandar Utama,Selangor,460,0,1,0,0,0,0,0,0,0,0,1,480000
